ID	acnu_18S	acnu_28S	taxo
Ei47	JN811156	JN811239	Acantharea_C4_Acanthocyrta_haeckeli
Vil131	JN811225	JN811333	Acantharea_C4_Amphiacon_denticulatus
Vil41	NA	JN811311	Acantharea_C4_Gigartacon_muelleri
Vil52	JN811208	JN811315	Acantharea_C4_Gigartacon_muelleri
Vil117	JN811221	JN811329	Acantharea_C4_Gigartacon_muelleri
Vil61	JN811210	JN811317	Acantharea_C4_Gigartacon_muelleri
Vil105	JN811219	JN811327	Acantharea_C4_Gigartacon_muelleri
Vil53	JN811209	JN811316	Acantharea_C4_Gigartacon_muelleri
Ros6	JN811202	JN811298	Acantharea_D_Trizoma_brandti
Ros8	NA	JN811300	Acantharea_D1_Trizoma_brandti
Ros7	NA	JN811299	Acantharea_D1_Trizoma_brandti
Oki47	JN811182	JN811272	Acantharea_D_Staurolithium_sp
Oki51	JN811184	JN811275	Acantharea_D_Acanthocolla_solidissima
Vil32	JN811205	JN811308	Acantharea_D1_Staurolithium_spA
Oki28	JN811174	JN811264	Acantharea_D_Acanthocolla_cruciata
Oki77	JN811195	JN811289	Acantharea_D1_Acanthocolla_cruciata
KF129893	KF129893	NA	Acantharea_4_Uncultured
KJ760964	KJ760964	NA	Acantharea_4_Uncultured
Vil119	JN811222	NA	Acantharea_4_Litholophus_sp
KJ763045	KJ763045	NA	Acantharea_4_Uncultured
KJ763536	KJ763536	NA	Acantharea_4_Uncultured
Vil17	NA	JN811305	Acantharea_E3_Diploconus_fasces
Ta61	NA	JN811304	Acantharea_E3_Diploconus_fasces
Ta60	NA	JN811303	Acantharea_E3_Diploconus_fasces
Oki4	JN811166	JN811254	Acantharea_E4_Dorataspis_loricata
Oki74	JN811194	JN811288	Acantharea_E4_Dorataspis_loricata
Vil25	JN811204	JN811307	Acantharea_E4_Coleaspis_vaginata
Vil86	JN811215	JN811323	Acantharea_E4_Coleaspis_vaginata
Oki49	JN811183	JN811274	Acantharea_E1_Lychnaspis_giltschii
Oki54	JN811185	JN811276	Acantharea_E2_Lychnaspis_giltschii
Oki11	JN811168	JN811257	Acantharea_E2_Lychnaspis_giltschii
Oki72	NA	JN811286	Acantharea_E1_Phractopelta_sarmentosa
Oki42	JN811178	JN811268	Acantharea_E1_Phractopelta_dorataspis
Oki73	JN811193	JN811287	Acantharea_E1_Larcidium_dodecanthum
Oki45	JN811180	JN811270	Acantharea_E1_Phractopelta_sarmentosa
